uuid	message_id	group_id	user_id	message_category	timestamp
8830628	7372	1893261315	5606989471	0	2023-01-09T01:39:21+00:00
8350581	5644	1893261315	2139373033	2	2023-01-07T00:17:52+00:00
8347847	2093	1893261315	1935570117	1	2022-12-31T20:14:38+00:00
8347848	2094	1893261315	1144907595	1	2022-12-31T20:19:24+00:00
8351620	6918	1893261315	958090504	0	2023-01-08T20:19:56+00:00
8351621	6919	1893261315	958090504	0	2023-01-08T20:20:09+00:00
8347404	1344	1893261315	1517635562	0	2022-12-30T19:30:35+00:00
8347849	2095	1893261315	5586247691	0	2022-12-31T20:19:34+00:00
8347855	2103	1893261315	5616094867	3	2022-12-31T20:31:36+00:00
8349268	3985	1893261315	5734022579	0	2023-01-03T22:26:42+00:00
8347416	1377	1893261315	5616094867	0	2022-12-30T19:51:10+00:00
8350184	5112	1893261315	5734022579	0	2023-01-06T01:46:05+00:00
8349325	4042	1893261315	918908449	0	2023-01-03T23:35:59+00:00
8349446	4195	1893261315	5128791735	0	2023-01-04T02:57:22+00:00
8347539	1595	1893261315	1175836446	0	2022-12-31T00:19:42+00:00
8347566	1646	1893261315	1811581303	0	2022-12-31T01:22:25+00:00
8349470	4221	1893261315	716417781	0	2023-01-04T03:05:24+00:00
8347716	1894	1893261315	2099630437	0	2022-12-31T13:44:05+00:00
8347723	1911	1893261315	1013815426	0	2022-12-31T14:14:56+00:00
8347734	1929	1893261315	776643243	0	2022-12-31T14:54:22+00:00
8347893	2169	1893261315	1138884398	0	2022-12-31T22:45:06+00:00
8347894	2172	1893261315	975835379	1	2022-12-31T22:47:55+00:00
8349471	4222	1893261315	716417781	0	2023-01-04T03:05:43+00:00
8347190	881	1893261315	1362970739	0	2022-12-30T09:30:31+00:00
8348469	3103	1893261315	884298399	0	2023-01-02T13:43:02+00:00
8348497	3131	1893261315	5734022579	0	2023-01-02T15:37:13+00:00
8349472	4223	1893261315	1669546622	0	2023-01-04T03:06:11+00:00
8348236	2730	1893261315	1040084370	0	2023-01-01T18:34:20+00:00
8347417	1379	1893261315	5616094867	0	2022-12-30T19:52:37+00:00
8348237	2732	1893261315	5110793103	0	2023-01-01T18:35:05+00:00
8349137	3837	1893261315	918908449	0	2023-01-03T17:46:23+00:00
8349149	3850	1893261315	918908449	0	2023-01-03T17:56:28+00:00
8347583	1674	1893261315	1177090090	0	2022-12-31T01:49:46+00:00
