uuid	message_id	group_id	user_id	message_category	timestamp
4105473	1973	1898237254	5480851391	3	2022-12-09T05:25:24+00:00
4103628	2	1898237254	2003504193	2	2022-11-01T02:05:46+00:00
4103629	5	1898237254	2003504193	0	2022-11-01T02:24:28+00:00
4103630	6	1898237254	2003504193	0	2022-11-01T02:29:57+00:00
4103631	8	1898237254	2003504193	2	2022-11-01T02:32:39+00:00
4103632	9	1898237254	2003504193	3	2022-11-01T02:32:55+00:00
4103633	10	1898237254	2003504193	2	2022-11-01T02:33:17+00:00
4103634	11	1898237254	2003504193	3	2022-11-01T02:33:57+00:00
4103635	12	1898237254	2003504193	3	2022-11-01T02:35:47+00:00
4103636	13	1898237254	2003504193	3	2022-11-01T02:37:44+00:00
4103637	14	1898237254	2003504193	3	2022-11-01T02:54:21+00:00
4103638	15	1898237254	2003504193	3	2022-11-01T02:54:33+00:00
4103639	16	1898237254	2003504193	3	2022-11-01T03:22:26+00:00
4103640	17	1898237254	2003504193	2	2022-11-01T03:45:16+00:00
4103641	18	1898237254	2003504193	3	2022-11-01T03:45:57+00:00
4103642	19	1898237254	2003504193	2	2022-11-01T03:46:26+00:00
4103643	20	1898237254	2003504193	3	2022-11-01T03:47:55+00:00
4103644	21	1898237254	2003504193	3	2022-11-01T03:50:49+00:00
4103645	22	1898237254	2003504193	3	2022-11-01T03:52:12+00:00
4103646	25	1898237254	2003504193	0	2022-11-01T04:06:14+00:00
4103647	26	1898237254	2003504193	0	2022-11-01T04:06:33+00:00
4103648	27	1898237254	2003504193	3	2022-11-01T04:07:45+00:00
4103649	28	1898237254	2003504193	3	2022-11-01T04:11:27+00:00
4103650	29	1898237254	2003504193	3	2022-11-01T04:22:41+00:00
4103651	30	1898237254	2003504193	3	2022-11-01T04:38:08+00:00
4103837	237	1898237254	5286804903	0	2022-11-03T16:48:29+00:00
4103652	31	1898237254	2003504193	3	2022-11-01T04:39:00+00:00
4103653	32	1898237254	2003504193	3	2022-11-01T04:39:41+00:00
4103654	33	1898237254	2003504193	3	2022-11-01T04:40:10+00:00
4103655	34	1898237254	2003504193	3	2022-11-01T04:40:54+00:00
4103670	57	1898237254	5480851391	2	2022-11-01T12:00:23+00:00
4103656	37	1898237254	2003504193	3	2022-11-01T05:31:33+00:00
4103657	38	1898237254	2003504193	2	2022-11-01T05:40:20+00:00
4103658	40	1898237254	2003504193	3	2022-11-01T09:56:23+00:00
4103659	41	1898237254	2003504193	3	2022-11-01T09:56:23+00:00
4103660	46	1898237254	2003504193	0	2022-11-01T11:00:32+00:00
4103661	47	1898237254	2003504193	3	2022-11-01T11:00:58+00:00
4103662	48	1898237254	2003504193	3	2022-11-01T11:04:42+00:00
4103663	49	1898237254	2003504193	0	2022-11-01T11:06:04+00:00
4103664	51	1898237254	2003504193	3	2022-11-01T11:27:30+00:00
4103665	52	1898237254	2003504193	0	2022-11-01T11:57:25+00:00
4103666	53	1898237254	5480851391	3	2022-11-01T12:00:19+00:00
